Time (s),D Feed Flow (stream 2),E Feed Flow (stream 3),A Feed Flow (stream 1),A and C Feed Flow (stream 4),Compressor Recycle Valve,Purge Valve (stream 9),Separator Pot Liquid Flow (stream 10),Stripper Liquid Product Flow (stream 11),Stripper Steam Valve,Reactor Cooling Water Flow,Condenser Cooling Water Flow,Agitator Speed,A Feed (stream 1),D Feed (stream 2),E Feed (stream 3),A and C Feed (stream 4),Recycle Flow (stream 8),Reactor Feed Rate (stream 6),Reactor Pressure,Reactor Level,Reactor Temperature,Purge Rate (stream 9),Product Sep Temp,Product Sep Level,Prod Sep Pressure,Prod Sep Underflow (stream 10),Stripper Level,Stripper Pressure,Stripper Underflow (stream 11),Stripper Temperature,Stripper Steam Flow,Compressor Work,Reactor Cooling Water Outlet Temp,Separator Cooling Water Outlet Temp,Reactor Feed Component A,Reactor Feed Component B,Reactor Feed Component C,Reactor Feed Component D,Reactor Feed Component E,Reactor Feed Component F,Purge Gas Component A,Purge Gas Component B,Purge Gas Component C,Purge Gas Component D,Purge Gas Component E,Purge Gas Component F,Purge Gas Component G,Purge Gas Component H,Product Component D,Product Component E,Product Component F,Product Component G,Product Component H
180,62.963,54.079,24.792,59.818,22.567,40.223,34.307,47.537,47.58,41.237,19.582,50.0,0.24902,3669.3,4501.0,9.4495,27.321,42.458,2706.4,74.639,120.4,0.33582,80.221,48.711,2635.8,25.539,50.434,3102.5,22.326,65.758,228.78,341.5,94.614,77.284,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828
360,62.584,53.985,24.77,60.017,22.026,40.178,35.598,46.813,47.642,41.275,15.145,50.0,0.24924,3691.2,4508.9,9.4271,26.828,42.794,2704.6,74.722,120.4,0.33619,80.082,49.15,2633.0,25.225,50.12,3102.0,24.2,65.742,228.08,341.44,94.547,77.133,32.188,8.8933,26.383,6.882,18.776,1.6567,32.958,13.823,23.978,1.2565,18.579,2.2633,4.8436,2.2986,0.017866,0.8357,0.098577,53.724,43.828
540,62.981,53.763,24.617,60.958,22.407,39.997,40.251,45.183,47.465,40.641,18.233,50.0,0.25088,3668.2,4527.3,9.3515,27.01,42.366,2703.9,74.374,120.38,0.33766,80.063,50.731,2633.0,26.93,49.416,3100.7,22.897,65.734,230.08,341.42,94.629,77.395,32.256,9.0185,25.728,6.7967,18.994,1.6773,33.367,13.816,23.531,1.4573,18.396,2.238,4.8493,2.2828,0.017866,0.8357,0.098577,53.724,43.828
720,62.964,54.562,24.73,60.731,22.27,40.27,37.657,40.289,47.502,41.785,20.036,50.0,0.24972,3669.2,4460.6,9.4718,26.652,42.667,2704.3,75.455,120.4,0.33542,80.129,49.85,2632.8,24.499,47.302,3100.1,22.135,65.718,229.66,341.42,94.585,77.47,32.256,9.0185,25.728,6.7967,18.994,1.6773,33.367,13.816,23.531,1.4573,18.396,2.238,4.8493,2.2828,0.017866,0.8357,0.098577,53.724,43.828
900,64.046,53.353,24.191,60.497,22.434,39.749,40.875,45.942,47.469,41.791,15.925,50.0,0.24127,3652.1,4515.5,9.4406,26.89,42.301,2704.9,74.301,120.4,0.33811,80.178,50.943,2634.4,24.412,49.744,3100.8,23.866,65.73,230.02,341.94,94.543,77.471,32.921,8.8637,26.323,6.9991,19.312,1.6326,32.933,13.897,23.934,1.2262,18.948,2.2528,4.8711,2.3636,0.017866,0.8357,0.098577,53.724,43.828
1080,63.539,53.579,24.202,61.741,22.253,39.814,41.75,48.612,47.582,41.208,18.183,50.0,0.24116,3681.6,4496.6,9.2008,26.627,42.699,2705.8,74.635,120.42,0.33758,80.275,51.24,2634.7,23.675,50.898,3101.3,22.916,65.754,228.73,341.6,94.543,77.208,32.921,8.8637,26.323,6.9991,19.312,1.6326,32.933,13.897,23.934,1.2262,18.948,2.2528,4.8711,2.3636,0.020259,0.84027,0.10119,53.173,44.076
1260,62.977,53.325,17.351,60.056,22.14,41.016,36.748,46.099,47.533,40.302,18.112,50.0,0.17391,3610.2,4447.2,9.2225,26.502,42.676,2701.6,74.335,120.4,0.34599,80.181,49.54,2630.6,25.614,49.812,3097.5,22.938,65.781,229.25,341.62,94.662,77.464,32.235,8.927,26.425,6.9845,18.841,1.6992,32.989,13.876,23.849,1.2636,18.45,2.2444,4.8413,2.2728,0.020259,0.84027,0.10119,53.173,44.076
1440,62.651,53.124,17.371,61.553,22.263,41.046,34.345,46.709,47.55,40.625,19.582,50.0,0.1737,3629.1,4464.0,9.4451,27.024,41.922,2699.9,75.342,120.38,0.34574,80.097,48.724,2627.8,25.374,50.076,3095.5,22.334,65.767,229.04,341.29,94.76,77.015,32.235,8.927,26.425,6.9845,18.841,1.6992,32.989,13.876,23.849,1.2636,18.45,2.2444,4.8413,2.2728,0.020259,0.84027,0.10119,53.173,44.076
1620,62.736,54.063,23.526,59.847,22.049,40.843,43.078,46.608,47.469,40.858,18.922,50.0,0.23568,3625.7,4478.1,9.3493,27.222,42.297,2698.6,75.671,120.4,0.34343,79.802,51.691,2626.2,25.592,50.032,3095.3,22.631,65.706,229.98,340.86,94.882,76.869,32.039,8.7616,26.495,6.8788,18.434,1.6611,32.409,13.92,23.908,1.3095,18.607,2.2858,4.8585,2.3384,0.020259,0.84027,0.10119,53.173,44.076
1800,62.718,53.987,23.502,60.519,22.409,40.862,41.595,49.08,47.262,41.118,16.237,50.0,0.23593,3626.7,4484.4,9.4801,27.328,42.187,2701.2,74.712,120.41,0.34327,79.955,51.188,2629.9,23.355,51.1,3096.9,23.754,65.656,232.37,341.05,94.767,77.36,32.039,8.7616,26.495,6.8788,18.434,1.6611,32.409,13.92,23.908,1.3095,18.607,2.2858,4.8585,2.3384,0.020259,0.84027,0.10119,53.173,44.076
1980,62.918,54.434,25.153,60.517,21.903,41.011,44.692,41.559,47.438,40.565,16.143,50.0,0.25814,3666.2,4532.4,9.5943,27.031,42.405,2705.0,74.68,120.39,0.35257,80.191,52.24,2634.1,25.732,47.85,3102.5,23.776,65.659,231.78,341.25,94.712,77.747,31.811,8.8851,26.37,6.9106,18.512,1.6675,32.749,13.715,23.977,1.307,18.552,2.2358,4.9095,2.3445,0.016959,0.84155,0.10564,52.992,43.599
2160,62.798,54.197,25.275,59.645,22.168,41.378,35.039,47.327,47.651,41.74,19.475,50.0,0.2569,3673.2,4552.2,9.4375,26.938,42.221,2708.3,74.8,120.43,0.34956,80.398,48.96,2636.7,25.758,50.343,3107.1,22.362,65.749,229.96,340.48,94.628,77.724,31.811,8.8851,26.37,6.9106,18.512,1.6675,32.749,13.715,23.977,1.307,18.552,2.2358,4.9095,2.3445,0.016959,0.84155,0.10564,52.992,43.599
2340,63.475,54.762,27.875,63.044,22.014,38.292,29.066,43.66,47.608,39.788,17.559,50.0,0.27991,3617.0,4493.2,9.3585,26.553,42.267,2710.4,74.578,120.38,0.33001,80.346,46.93,2638.9,26.559,48.758,3108.4,23.173,65.82,230.97,340.97,94.567,77.344,32.231,9.0579,26.619,6.8836,18.802,1.7052,32.76,13.866,23.878,1.1849,18.388,2.2597,4.798,2.4003,0.016959,0.84155,0.10564,52.992,43.599
2520,62.707,54.057,27.746,60.739,22.311,38.883,34.777,45.783,47.449,41.967,18.159,50.0,0.28122,3661.6,4552.1,9.4101,26.562,42.43,2709.6,74.895,120.42,0.32517,80.156,48.871,2638.5,26.756,49.676,3107.7,22.928,65.803,233.32,341.42,94.568,77.153,32.231,9.0579,26.619,6.8836,18.802,1.7052,32.76,13.866,23.878,1.1849,18.388,2.2597,4.798,2.4003,0.016959,0.84155,0.10564,52.992,43.599
2700,62.866,54.115,23.956,61.281,22.175,40.283,37.951,47.62,47.605,40.154,14.979,50.0,0.24207,3665.3,4489.5,9.3223,26.765,42.592,2708.1,75.129,120.37,0.34623,79.937,49.949,2636.4,26.96,50.469,3105.4,24.277,65.779,232.16,341.62,94.547,77.017,32.257,8.7784,26.407,6.6898,19.297,1.6532,32.575,14.005,24.193,1.3181,18.421,2.2394,4.9101,2.3205,0.016959,0.84155,0.10564,52.992,43.599
2880,63.133,53.944,23.712,61.519,22.266,40.095,37.955,46.706,47.572,41.749,17.067,50.0,0.24455,3649.7,4503.7,9.4052,27.176,42.451,2708.3,75.267,120.42,0.34777,80.003,49.951,2636.9,25.226,50.075,3106.4,23.376,65.694,233.62,341.56,94.642,77.792,32.257,8.7784,26.407,6.6898,19.297,1.6532,32.575,14.005,24.193,1.3181,18.421,2.2394,4.9101,2.3205,0.026676,0.84251,0.095266,54.023,43.523
3060,63.962,53.46,23.816,61.038,22.452,42.588,39.097,45.171,47.882,41.4,17.238,50.0,0.23735,3705.6,4439.0,9.453,27.064,42.603,2709.8,75.404,120.42,0.35924,80.277,50.339,2639.2,24.5,49.411,3107.5,23.307,65.756,230.93,341.88,94.441,77.406,32.136,8.8914,26.695,6.8564,18.504,1.6433,32.831,13.716,24.618,1.2202,18.282,2.2706,4.9206,2.3411,0.026676,0.84251,0.095266,54.023,43.523
3240,64.746,53.221,23.213,62.7,22.297,42.938,34.116,48.729,47.896,41.608,16.901,50.0,0.24349,3660.0,4458.9,9.3087,26.876,42.341,2707.7,74.033,120.42,0.35637,80.234,48.646,2637.0,25.526,50.949,3105.8,23.442,65.807,231.52,341.34,94.512,77.54,32.136,8.8914,26.695,6.8564,18.504,1.6433,32.831,13.716,24.618,1.2202,18.282,2.2706,4.9206,2.3411,0.026676,0.84251,0.095266,54.023,43.523
